Time (s),p_chol_LE Tokens
0.498,2648428755.808856
0.5,2648407705.9147744
0.502,2648406761.6172304
0.504,2648732091.3406634
0.506,2648432025.591758
0.508,2648410544.861583
0.51,2648734178.610869
0.512,2648754813.1042843
0.514,2650362396.8780913
0.516,2649978969.559686
0.518,2648502060.363126
0.52,2649835563.923645
0.522,2650472152.6204243
0.524,2648840107.4489074
0.526,2649871099.5995717
0.528,2649954975.6781464
0.53,2648507248.5718613
0.532,2650340587.8803725
0.534,2648843460.0950046
0.536,2649878671.266624
0.538,2649961155.2096357
0.54,2649968093.8432765
0.542,2648515075.2099404
0.544,2648751698.127355
0.546,2648768679.3736954
0.548,2649876314.9929996
0.55,2649967659.473047
0.552,2650500884.795407
0.554,2648860590.5001554
0.556,2649891010.2986007
0.558,2650496573.201853
0.56,2650008318.4533553
0.562,2648526128.1009517
0.5640000000000001,2648444237.8773017
0.5660000000000001,2648763566.307486
0.5680000000000001,2648463087.058599
0.5700000000000001,2648766986.879863
0.5720000000000001,2648789456.384293
0.5740000000000001,2648791253.0706196
0.5760000000000001,2649894205.9305005
0.578,2649986443.2213893
0.58,2650519368.640121
0.582,2650563416.199735
0.584,2650565745.2406588
0.586,2648880241.195592
0.588,2648478369.827025
0.59,2649868501.690552
0.592,2648536951.820011
0.594,2649874061.6081786
0.596,2650509578.643812
0.598,2648878546.2895226
0.6,2648479922.5418334
0.602,2648774554.959357
0.604,2650401005.1849856
0.606,2648878285.6646867
0.608,2649911474.4390397
0.61,2648541826.8200245
0.612,2648462220.560823
0.614,2648457795.500793
0.616,2650369014.7404594
0.618,2648561938.131823
0.62,2650380938.2388716
0.622,2648563977.584727
0.624,2648790704.980288
0.626,2648483532.2429533
0.628,2648463849.366327
0.63,2649879921.1323347
0.632,2650001288.056236
0.634,2650536216.0324545
0.636,2650576993.3971086
0.638,2648893386.3568835
0.64,2650420468.7757072
0.642,2648886197.0707765
0.644,2649919131.752887
0.646,2648868475.5897675
0.648,2648492394.0912924
0.65,2650380572.198637
0.652,2650568791.443377
0.654,2648578570.741042
0.656,2648799903.3571725
0.658,2649919508.1101255
0.66,2648877659.7800593
0.662,2648502439.1192946
0.664,2650386894.846465
0.666,2648896980.766013
0.668,2648501008.004293
0.67,2648473512.4847865
0.672,2648796113.7119365
0.674,2648495941.01565
0.676,2650386896.130098
0.678,2648578594.9293118
0.68,2648481737.140564
0.682,2648799881.7324996
0.684,2648498266.838617
0.686,2648477087.1746273
0.6880000000000001,2650389896.3473763
0.6900000000000001,2650579834.030696
0.6920000000000001,2650054067.7029557
0.6940000000000001,2650550549.9559684
0.6960000000000001,2650588616.0712476
0.6980000000000001,2648905692.5090837
0.7000000000000001,2648503940.073845
0.7020000000000001,2648479282.9945035
0.704,2649893401.0135636
0.706,2648564118.565321
0.708,2648807380.108622
0.71,2648823172.3198
0.712,2648502490.7445364
0.714,2649893848.852016
0.716,2650014443.4578924
0.718,2650548759.743534
0.72,2650591710.333077
0.722,2650054674.1836205
0.724,2648887285.4257736
0.726,2650437009.7451744
0.728,2650047507.942777
0.73,2650548873.1418266
0.732,2648906031.683989
0.734,2649933549.847811
0.736,2648562805.307967
0.738,2649901748.7237062
0.74,2650017297.4958963
0.742,2648886277.5766068
0.744,2650435093.4137797
0.746,2650043486.9305477
0.748,2648885199.302052
0.75,2648503008.46056
